@RELATION MetaCritic

@ATTRIBUTE year	INTEGER
@ATTRIBUTE rating	{EC,E,E10,T,M,AO,RP}
@ATTRIBUTE genre	{Action,ActionAdventure,Adventure,Driving,Fighting,MMO,Platformer,Party,Puzzle,RPG,Shooter,Sports,Simulation,Strategy,Misc}
@ATTRIBUTE score	REAL
@ATTRIBUTE userScore	REAL
@ATTRIBUTE class	{PC,Console}

@DATA
2010,T,Platformer,0.87,8.3,PC
2010,M,Shooter,0.87,8.5,PC
2010,E10,?,0.87,9.1,PC
2010,?,?,0.86,8.3,PC
2010,E10,Driving,0.86,6,PC
2010,M,?,0.86,8.6,PC
2010,T,?,0.86,7.4,PC
2010,M,?,0.86,8,PC
2010,M,ActionAdventure,0.86,3.7,PC
2010,E,?,0.85,8.6,PC
2010,M,Strategy,0.85,9,PC
2010,M,ActionAdventure,0.84,7,PC
2010,M,RPG,0.84,7.9,PC
2010,E,?,0.84,6.6,PC
2010,E,Action,0.84,7.8,PC
2010,E,?,0.83,7.8,PC
2010,T,Adventure,0.83,7.9,PC
2010,M,ActionAdventure,0.83,7.9,PC
2010,M,?,0.83,8.3,PC
2010,E10,?,0.83,0,PC
2010,M,ActionAdventure,0.83,3.5,PC
2010,T,MMO,0.82,8.5,PC
2010,E,?,0.82,8.4,PC
2010,M,RPG,0.82,7.1,PC
2010,E,?,0.82,8.6,PC
2010,?,?,0.82,8.3,PC
2010,?,?,0.82,8.4,PC
2010,M,?,0.82,8.5,PC
2010,M,Shooter,0.81,8.2,PC
2010,E10,?,0.81,7.1,PC
2010,E10,Adventure,0.81,7.5,PC
2010,T,Strategy,0.81,7.8,PC
2010,M,Shooter,0.81,4.2,PC
2010,?,?,0.81,0,PC
2010,?,?,0.8,8.5,PC
2010,E,Puzzle,0.8,9.3,PC
2010,M,?,0.8,8.8,PC
2010,E10,Strategy,0.79,6.7,PC
2010,?,Strategy,0.79,7.5,PC
2010,E,?,0.79,7.9,PC
2010,E10,Driving,0.79,8.3,PC
2010,T,?,0.79,9.3,PC
2010,E,Puzzle,0.79,9.1,PC
2010,E10,Strategy,0.79,4.7,PC
2010,E10,ActionAdventure,0.79,7.3,PC
2010,?,RPG,0.79,0,PC
2010,E,?,0.78,8.8,PC
2010,M,ActionAdventure,0.78,6.8,PC
2010,T,RPG,0.78,9.2,PC
